Year,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,OwnedBy,WantedBy,Disney,Marvel,Star Wars,WB,Universal,Other or unknown media license,Theme_Bionicle,Theme_BrickHeadz,Theme_Bricks and More,Theme_Cars,Theme_Castle,Theme_City,Theme_Classic,Theme_Collectable Minifigures,Theme_Creator,Theme_Creator Expert,Theme_DC Comics Super Heroes,Theme_DC Super Hero Girls,Theme_Dimensions,Theme_Dino,Theme_Disney,Theme_Dots,Theme_Duplo,Theme_Education,Theme_Elves,Theme_Friends,Theme_Games,Theme_HERO Factory,Theme_Harry Potter,Theme_Hidden Side,Theme_Ideas,Theme_Juniors,Theme_Jurassic World,Theme_Legends of Chima,Theme_Marvel Super Heroes,Theme_Mindstorms,Theme_Minecraft,Theme_Mixels,Theme_Monkie Kid,Theme_Monster Fighters,Theme_Nexo Knights,Theme_Ninjago,Theme_Other theme,Theme_Overwatch,Theme_Pharaoh's Quest,Theme_Pirates,Theme_Pirates of the Caribbean,Theme_Powered Up,Theme_Racers,Theme_Seasonal,Theme_Space,Theme_Speed Champions,Theme_Star Wars,Theme_Super Mario,Theme_Technic,Theme_Teenage Mutant Ninja Turtles,Theme_The Angry Birds Movie,Theme_The Hobbit,Theme_The LEGO Batman Movie,Theme_The LEGO Movie,Theme_The LEGO Ninjago Movie,Theme_The Lego Movie 2: The Second Part,Theme_The Lone Ranger,Theme_The Lord of the Rings,Theme_Toy Story,Theme_Trolls World Tour,Theme_Ultra Agents,Theme_Unikitty,Theme_Xtra,Subtheme_Airjitzu,Subtheme_Airport,Subtheme_Alien Conquest,Subtheme_Amusement Park,Subtheme_An Unexpected Journey,Subtheme_Architect Series,Subtheme_Arctic,Subtheme_Avengers,Subtheme_Avengers: Age of Ultron,Subtheme_Avengers: Endgame,Subtheme_Avengers: Infinity War,Subtheme_Batman,Subtheme_Blind bags series 1,Subtheme_Booster pack,Subtheme_Bracelets,Subtheme_Brain Attack,Subtheme_Breakout,Subtheme_Buildable Figures,Subtheme_Cars,Subtheme_Cars 2,Subtheme_Cars 3,Subtheme_Chinese New Year,Subtheme_Christmas,Subtheme_Cinderella,Subtheme_City,Subtheme_Coast Guard,Subtheme_Companions,Subtheme_Constraction,Subtheme_Construction,Subtheme_DC Comics Super Heroes,Subtheme_DC Extended Universe,Subtheme_DC Super Heroes,Subtheme_Deep Sea Explorers,Subtheme_Disney,Subtheme_Disney Princess,Subtheme_Disney Series 2,Subtheme_Duplo,Subtheme_EV3,Subtheme_Easter,Subtheme_Episode I,Subtheme_Episode II,Subtheme_Episode III,Subtheme_Episode IV,Subtheme_Episode V,Subtheme_Episode VI,Subtheme_Expansion Set,Subtheme_Fallen Kingdom,Subtheme_Ferrari,Subtheme_Fire,Subtheme_Fire vs. Ice,Subtheme_Forest Police,Subtheme_Friends,Subtheme_Frozen,Subtheme_Frozen II,Subtheme_Fun Pack,Subtheme_Galaxy Squad,Subtheme_General,Subtheme_Great Vehicles,Subtheme_Halloween,Subtheme_Harry Potter series 1,Subtheme_Harry Potter series 2,Subtheme_Hunted,Subtheme_Invasion From Below,Subtheme_Jake and the Never Land Pirates,Subtheme_Jungle,Subtheme_Jungle Rescue,Subtheme_Justice League,Subtheme_Landmark Series,Subtheme_Legacy,Subtheme_Legend of Isla Nublar,Subtheme_Level Pack,Subtheme_Licensed,Subtheme_Marvel Super Heroes,Subtheme_Master of the Mountain,Subtheme_MicroFighters,Subtheme_Microfighters,Subtheme_Mighty Micros,Subtheme_Minifig-scale,Subtheme_Mining,Subtheme_Miscellaneous,Subtheme_Modular Buildings,Subtheme_Mountain Police,Subtheme_None,Subtheme_Ordeal of Fire,Subtheme_Original Content,Subtheme_Other subtheme,Subtheme_Outlands,Subtheme_Palace Pets,Subtheme_Party,Subtheme_Pilot Season,Subtheme_Planet Set,Subtheme_Play Cube,Subtheme_Police,Subtheme_Pop Star,Subtheme_Porsche,Subtheme_Possession,Subtheme_Prime Empire,Subtheme_Prison Island,Subtheme_Promotional,Subtheme_Rebels,Subtheme_Reboot Villains,Subtheme_Rebooted,Subtheme_Rise of the Snakes,Subtheme_Rogue One,Subtheme_Savage Planet,Subtheme_Season 1,Subtheme_Season 2,Subtheme_Season 3,Subtheme_Season 4,Subtheme_Season 5,Subtheme_Seasonal,Subtheme_Secrets of the Forbidden Spinjitzu,Subtheme_Series 03,Subtheme_Series 04,Subtheme_Series 05,Subtheme_Series 06,Subtheme_Series 07,Subtheme_Series 08,Subtheme_Series 09,Subtheme_Series 1,Subtheme_Series 10,Subtheme_Series 11,Subtheme_Series 12,Subtheme_Series 13,Subtheme_Series 14,Subtheme_Series 15,Subtheme_Series 16,Subtheme_Series 17,Subtheme_Series 18,Subtheme_Series 19,Subtheme_Series 2,Subtheme_Series 20,Subtheme_Series 3,Subtheme_Series 4,Subtheme_Series 5,Subtheme_Series 6,Subtheme_Series 7,Subtheme_Series 8,Subtheme_Series 9,Subtheme_Sky Police,Subtheme_Skybound,Subtheme_Skylines,Subtheme_Solo,Subtheme_Sons of Garmadon,Subtheme_Space,Subtheme_Speedorz,Subtheme_Spider-Man,Subtheme_Spinjitzu,Subtheme_Spinjitzu Masters,Subtheme_Spinners,Subtheme_Star Wars,Subtheme_Summer,Subtheme_Swamp Police,Subtheme_TV Series,Subtheme_Tangled,Subtheme_Team GB,Subtheme_Team Pack,Subtheme_Thanksgiving,Subtheme_The Avengers,Subtheme_The Clone Wars,Subtheme_The Desolation of Smaug,Subtheme_The Fellowship of the Ring,Subtheme_The Final Battle,Subtheme_The Force Awakens,Subtheme_The Hands of Time,Subtheme_The LEGO Batman Movie,Subtheme_The LEGO Batman Movie series 2,Subtheme_The LEGO Movie,Subtheme_The LEGO Movie 2: The Second Part,Subtheme_The LEGO Ninjago Movie,Subtheme_The Last Jedi,Subtheme_The Little Mermaid,Subtheme_The Rise of Skywalker,Subtheme_The Simpsons,Subtheme_The Simpsons series 2,Subtheme_Toa,Subtheme_Tournament of Elements,Subtheme_Town,Subtheme_Toy Story 4,Subtheme_Traffic,Subtheme_Trains,Subtheme_Ultimate,Subtheme_Ultimate Collector Series,Subtheme_Ultimate Spider-Man,Subtheme_Valentine's Day,Subtheme_Vehicles,Subtheme_Vet,Subtheme_Volcano Explorers,Subtheme_Winter Village,Subtheme_Zoo
2013,0.0,6.410174881966167,19.99,29.99,39.99,29.010278478101764,6.9874902470009905,5.594711379601839,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1.3862943611198906,6.413458957167357,39.99,51.750583988414,64.47948072302198,50.05998175752866,5.638354669333745,5.849324779946859,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0.0,7.3783837129967145,49.99,64.69146520582186,80.60338187906649,62.578106728153486,7.236339342754344,5.981414211254481,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1.6094379124341003,4.51085950651685,7.99,11.99,14.99,11.598307400881634,8.702177865629675,7.039660349862076,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1.3862943611198906,5.298317366548036,17.99,19.99,24.99,19.336961212979467,8.375629627094451,7.144407180321139,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1.6094379124341003,5.517452896464707,24.99,29.99,39.99,29.010278478101764,8.364973978438726,7.25063551189868,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1.791759469228055,5.932245187448011,34.99,49.99,59.99,48.35691300834636,8.463159302923751,7.44716835960004,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2.0794415416798357,6.904750769961838,79.99,99.99,129.99,96.72349933395783,8.292047637431354,7.841885928984623,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1.0986122886681098,4.948759890378168,9.99,19.99,24.99,19.336961212979467,8.601718146485926,7.155396301896734,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1.3862943611198906,5.7745515455444085,24.99,39.99,49.99,38.68359574322407,8.813438494528507,7.920083199053234,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1.3862943611198906,5.976350909297934,34.99,44.99,59.99,43.520254375785214,8.347827345782498,7.669028288589683,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1.791759469228055,6.490723534502507,69.99,99.99,129.99,96.72349933395783,8.254528881939745,7.945201132412759,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0.6931471805599453,3.6375861597263857,3.169331709415027,3.99,4.971405310951784,3.8596535887837966,7.622174594817622,6.666956792429207,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1.0986122886681098,3.4965075614664802,4.99,6.99,8.99,5.99,9.11701821474481,6.9957661563048505,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1.0986122886681098,4.859812404361672,9.99,19.99,24.99,12.99,8.849513965486398,7.1459844677143876,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1.6094379124341003,5.442417710521793,24.99,39.99,49.99,38.68359574322407,8.402679804627477,7.401231264413015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1.9459101490553132,6.1092475827643655,59.99,79.99,99.99,69.99,8.502282578680484,7.622174594817622,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1.3862943611198906,5.634789603169249,34.99,44.99,59.99,43.520254375785214,7.826842098158293,7.618742377670413,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
